Id,Description,(Optional) Upload image of first activity here - Name,Frequency,Pattern Code,Tasks,Notes
P95,"I use a Surface Go to the right of my Surface Laptop (or Surface Book depending on what I'm doing) to keep me abreast of my schedule and for Teams calls so that I can stay focused on my Surface Laptop for my primary work. 

On the Surface Go I use Teams, Outlook or Outlook.com. ",,Multiple times a day,Partition,Focus Work and Communication / Schedule,
P55,"Play light video games on Surface Pro 4 while using large TV and xbox one s to stream video. Generally alone or with significant other.

Netflix, Disney plus, Amazon prime, Hulu, or YouTube on the Xbox. On the surface, mainly use steam. ",,Weekly,Partition,Game Play and Watch Videos,
P51,"By the pool- bring iPad for streaming, phone to make calls and run Smart Tab with Bluetooth speaker for music",,Weekly,Partition,Media streaming and Communication - Calls,
P16,"Meetings
- Work: meetings with worldwide workers and partners
- Using memote meeting software for average 6 meetings per day
- Work: corporate s/w is Zoom, some partners use Zoom or GTM. Personal: various software used by my Meetup groups for my ongoing professional education - almost always Zoom.
- Work: initiated by or or others - up to a dozen attend; personal education - initiated by the groups with several dozen in attendance 
Configuration: 
Work: i use multiple devicesif there are concurrent meetings.",5.jpg,Multiple times a day,Partition,Meeting - concurrent meetings,
P81,"Team meetings (marketing team) on my work PC, over Slack, while I use my phone to look up industry related articles on Twitter or through Google.",,Weekly,Partition,Meeting and Browse/Search,
P38,I am in a GoToMeeting video call using MacBook Pro Laptop and webcam. I use my large Apple display for additional windows like Slack and Outlook email.,,Multiple times a day,Partition,Meeting and Communication - chats and emails,Reversed screen priority
P84,"3. iPad, Zoom meetings for work, off camera, in my bedroom. I had too many Zoom meetings with over 120+ people over the summer. I would tune into the meetings on my iPad. I had my Large TV on something else, and I would discuss the meeting with my colleagues on my phone. The set up, still in pajamas, reclining in bed! ",,Weekly,Partition,Meeting and Wathc TV,
P83,"Editing photos
Reviewing, editing, and uploading (publishing) photos.
Windows, Luminar 4, & Adobe Lightroom
Usually just me, sometimes I ask my wife for input on editing

I use my Thinkpad.  Usually in different places in the home because I am usually doing other activities like watching TV.

I may sit on the couch and put the laptop on the arm of the couch or the coffee table so I can edit or review while watching Tv. 

I may sit in bed with a pillow under the laptop to edit or review photos.  Often I am also watching TV while I am doing that.  Typically at night.

I may sit in the library on a chair with the laptop on my lap or small stand.  Usually I listen to music playing on the Echo Dot when I am in the libray (which is part of the master bedroom. 

I may sit outside on the porch and edit photos.  Often I have my phone and a portable speaker so I can listen to music when I am out there. The speaker is connected via Bluetooth to the phone that is streaming the music.",,Weekly,Partition,Photo Editing and Watch TV,
P39,"Another activity I perform using multiple devices:

Reading while listening to music. 

I typically read on my bed. The music plays from the second speaker on the google home speaker. 
Music is usually played on spotify or youtube music. 

Occasionally, I will play music on youtube on the TV (songs not available outside of youtube)

Reading happens on the kindle app, or on Mood reader+. I typically read in bed. ",,Weekly,Partition,Reading and Music Play,
P38,"I go running with both my Pixel and iPhone. My Pixel is used to track distance and time using the Nike Run Club app. The iPhone is used for listening to podcasts while running, default podcast player. I wear the Pixel using a running belt, the iPhone is held in my hand.",,Daily,Partition,Tracking and Podcast Play,
P50,"I am following a twitch feed for professional development, or an Office version of Meet. (with professional dev leaders and participants.) (Fair Chance Learning if you care)
I need to be able to also use Minecraft, So I am at my Dining room table with my Macbook Air (which has the non-beta version of MC:EE on it.) I am running Meet on my Dell laptop. My phone is always necessary. I take notes on a write erase board, and keep a tab open for digital note in Google drive. It may be easier to take a picture of the screen with my phone.
It is just two laptops on a table, side by side. I use external mice. It is hard on my shoulders.",setup.jpg,Weekly,Partition,Watch streams and Game Play (?),two laptop setups
P95,"I rarely watch TV without my iPhone or an iPad. I use the iPhone to receive notifications (meetings, Teams, text messages (iMessage), Facebook); to check email (Apple Mail) and often to look up stuff about the shows I'm watching (Safari, IMDB app). I also use my iPhone as a remote for the AppleTV and to control the house lighting (Siri, Lutron, Apple HomeKit)",,Daily,Partition,Watch TV and Browse / Social Media / Emails / Smart Home,
P58,"- Describe the activity : 

   - What is the activity ? 
Watching TV and using the computer/ipad for random stuff like browsing the web or photo editing or working
   - What does it in involve?
Having the TV on while doing something else on the laptop, phone, and/or ipad
   - What software is involved in this activity ? 
Media apps, browser, social apps
   - Who is involved? 
Me
- Describe the configuration:

   - How are you using the devices? 
Using the Xbox or apple tv for watching TV while I'm on the couch with a combination of iphone, laptop, ipad for the misc stuff. Iphone is my primary for messages and social media while I'm doing things on the laptop or ipad,
   - How are they positioned physically in the space?",,Multiple times a day,Partition,"Watch TV and Browse
Watch TV and Work
Watch TV and Phot Editing",
P97,3. Gaming - XBOX console - typically me only but occasionally with local and online players. I also will watch streamed content from Disney+ and on occasion will use the web browser app to access Windows Virtual Desktop and read corporate email or engage in Chat. ,,Daily,Partition,Watch TV and Communication - Chats / Work,
P61,"Watch movies asks play video games from my sofa in the basement using a 65"" TV. Also use Roku and Nintendo Switch. Software includes Netflix, Hulu, and Disney+.",,Daily,Partition,Watch TV and Game Play,
P33,"At mealtimes I watch TV from my table while eating breakfast.  I play a game on the iPad on the side, then after eating I move to the couch to finish watching the show.  Once I finish a level or game I am working through, I continue watching TV while checking personal e-mail or various web surfing from my Surface Pro.
Software generally includes Outlook, Microsoft Edge, the Weather app.",,Multiple times a day,Partition,"Watch TV and Game Play
Watch TV and Communication
Watch TV and Browse",
P75,"Phone, laptop, and smart TV
Living room
Laying on couch like a lazy person.
Phone to left on couch within reach
Laptop with angled table over me for typing
Smart TV across living room for background noise ",,Multiple times a day,Partition,Watch TV and Other Things,
P72,"Watching TV

Either in the living room or bedroom.

I'm terrible at focussing on a show/movie for more than about 30 minutes. After that I always find I grab another device and have to do something else white keeping an eye/ear on the TV. I either pick up my iPhone and review Twitter, or read a quick interesting article I have added to my reading list app. Or it's my Kindle to scan through quick short book - normally technical related (if you haven't realised I'm a self confessed geek!)  ",,Daily,Partition,"Watch TV and Social Media
",
P32,"Family room - large tv, Surface Pro 4, Samsung Phone, X-Box One.  Browser used for social media, some installed games on laptop for entertainment.  Xfinity used for TV and streaming services.",,Multiple times a day,Partition,"Watch TV and Social Media
Watch TV and Game Play",
P51,"Check work and personal email on all my devices in home office.  In kitchen, use Smart Tab for streaming WNYC and video programs like YouTube and Netflix.  Use bedroom computer at night ~ tablets when checking email from my moms house and use Lenovo Smart display to zoom with MIL",,Daily,Partition,Watch videos and Communication - Emails,
P30,"Activity:
For personal use, such as browsing social media, watching videos/movies online

Configuration:
The same as the first activity. Sometimes also using smartphone for texting while consuming media on PC",,Daily,Partition,Watch Videos and Communication - Texting,
P84,"2. My desktop computer using Canvas LMS, and Zoom through the LMS during my teaching semester is another setup. I still have my phone with me to field calls, or FaceTime with colleagues. I do not need to use this home office set up with only one Summer class. The desktop is on a roll top desk, and there is a 24 inch monitor there too. I do access the LMS from Google Chrome so I cam keep all of my logins in one browser. That is a handy option when moving from one device to the next.
",,Multiple times a day,Partition,Work and Communication - Video Call,Keep logins in one browser 
P3,"Reading eMails/Documents on Phone while working on business computer
- Business laptop and Business phone
- Outlook Mobile

Keyboard at 'best position'
Phone is residing on left side in hand or next to thand",,Weekly,Partition,Work and Communication (Email),
P37,"Post work hours - gaming, video streaming, work for volunteer purposes done on home pc.  Tower based - in living room. No photo available.",,Daily,Partition,Work and After Work,
P3,"Doing skype/Teams calls via phone while working on the computer
- Skype / Teams on Mobile

Opening the skype/team call via phone (would be great to transfer a call from computer to phone via click)
- Phone is in pocket to allow 'walk-arounds' in office during call
- Sometimes, if presentation is running, phone is just between monitor and keyboard in upstanding position. ",,Daily,Partition,Work and Meeting,would change position of the phone if need to view things 
P79,"Multitasking work and personal use - separate devices insure security and keep work separate from personal.  You can see my desk configuration with the work laptop connected via port replicator to large monitor, and Dell laptop for personal use sitting on top of it.  ",,Multiple times a day,Partition,Work and Personal ,Insure security and separate work from personal use
P33,"In my home office I coordinate artist work utilizing proprietary software, and facilitate communications using industry standard e-mail, videoconferencing, and remote access tools.
My personal tablet is set up in front of one of my desktop monitors for personal e-mail, my work tablet is set up in front of my second desktop monitor for videoconferencing, and I have an iPad to the side for music.",,Daily,Partition,Work and Personal and Music,
P37,"Working on Surface Pro 4, I have music streaming from Surface Go.  I will check my personal email on the Go.  I may receive text on my Huawei phone, or updates in things like Facebook, messenger or Instagram.  ""Your Phone"" is NOT flawless so it's just easier for me to grab my phone than try to interact with Your Phone on the Go.  I may receive calls on my Samsung phone from co-workers but majority of communication for work is done on Surface Pro 4, via email, Skye for Business (SfB)and Cisco Jabber for voip calls.  Go is off to the left.  Centre, between to regular monitors is the Surface Pro 4.  I usually have multiple applications going, hence the need for 3 screens.   On the right of the table are the phones.   Work is Win10 for business and Office 365 as well as SAP.   Surface Go is on Windows Insider, running normally Firefox and Spotify.  Phones are Android 10 based.  For post hours, if I'm doing any online meetings, I swap out my Pro 4 with my Surface Go, to run Zoom with multi-monitor set up.  Some work/prep for these non-work meetings are done on Surface Go (Office 365) but most work is split with this device and Home PC.  Zoom calls are done on Go, as home PC is in busy living room.",,Daily,Partition,"Work and Personal Email
Work and Music Play",
P84,"1. I work from home on my HP laptop using the Canvas Learning management system when teaching. I also Zoom with students through the Canvas LMS as Zoom is able to be integrated with my class. I usually sit comfortably on my living room couch. When I am not on camera (that is only an office hour per online class in the Summer), I grade my students’ work will watching my large TV in my living room. I have children who are around as well, watching the large tv. My iPad is close by as I may FaceTime a colleague, or family member too. My laptop is on my lap as I do not need it daily. During the Spring Semester, I used a Levengers adjustable lap desk when I worked in the living room on my full teaching load, and Zooming classes.


",,Weekly,Partition,"Work and Watch TV
Work and Communication - Video Call",
P40,"The third activity was watching TV series on the living room TV while working on the laptop or iPad.
I use a 4th Generation Apple TV (HD), primarily for binge-watching from Netflix either on my own or with the family. I also use my Apple TV to view content stored on my iPhone or iPad using AirPlay. Then I work on the assignments and projects that were given by my college lecturers on either my ThinkPad laptop or my iPad using Microsoft Word and Outlook.",,Multiple times a day,Partition,Work and Watch Videos,
P69,"Activity: Video calls
What does it involve: Video calls for work or family.
What software is involved: Microsoft Teams or Skype
How are you using the devices: Surface Book 2 typically used for work calls via Teams; Surface Go usually used for Skype calls with family
How are they positioned physically in the space: Generally roaming.",,Multiple times a day,Partition,Work Call and Family Call ,this remind me of people actually likes separation for different purpose/usage
P11,"Creating or editing Office documents - One or more open documents (on large external monitor), still have Teams and Slack open (on laptop screen), still have Your Phone and Whatsapp open (on a second virtual desktop)
I sit mostly facing the large monitor but still with the laptop in view",20200713_183128.jpg,Multiple times a day,Partition,"Writing, communication (work), communication (personal)",
P10,"Activity: Work. Information security and forensics. Gmail, Outlook, Teams, Excel, Magnet AXIOM, Forensic Explorer, Chrome, Safari. Me. 
Configuration: I currently move the HDMI cable from the monitor to whichever machine I am most actively using. The HP Z820 is to the right of my desk, monitor on top of course. I swap laptops based on what I'm doing. I keep the laptops in their respective bags or under a nearby table.",,Multiple times a day,Partition ,Different Work,
P16,"Browsing
- research, education, infotainment
- Work PC: searching for information relevant to my job and reading web pages. Tower PC, phone and tablets: browsing for infotainment
- Work PC: Firefox (official browser); Tower and phone: Edge; tablets (Firefox side-loaded to replace Amazon browser)
- Who - me
Config:
- I am heavily using them since my work projects are int he research and definition phase now. On my personal devices, I am attempting to keep all my Favorites in the browsers in sync but there are issues.  One the Tablets, I cannot get the source needed top side-load Edge. My hope is to have identical Microsoft s/w on each, with identical information accessable across the board - I have that with OneDrive and Outlook but not with the browsers.",,Multiple times a day,Partition ,Search (infotainment) and Search (work),
P20,"travel
i always have my phone, surface go and switch with me (portable charger too)
i can jump between devices easy and all are fairly portable. i also have a dongle for the surface go to attach to tv. 
i game in my down time to help me destress so its nice to have my switch (and some PC games too) at hand. but i can jump back to the surface. im glad all three devices can charge on USB C as well. ",,Multiple times a day,Partition ,Work and Game Play,Streaming - be integrate or clone? 
P6,"While I'm waiting for my PC to finish something that may take time, sometimes I'll grab my iPhone and see if I have any notifications by email on social media. (Software- native Twitter or NextDoor apps - built-in Apple Mail) In cases where I'd like to respond to something on social media, like with a photo, if it's a photo that I can find easily, I'll find it on my iCloud drive. If it's a photo that I'd like to see more clearly (bigger) or have to hunt for, I'll pick up my iPad and carry on from there. Physically, my iPhone is often near me - on my desk or in my pocket. The PC is in front of me. The iPad is often to my side, as I often leave it near my home office desk charging or just handy. (It's easier for me to find things when I put them back in ""their"" place)",,Multiple times a day,Partition ,Work and social media ,Partition to optimizie workflow?
P62,"Office: watching TV while working on two different machines.

I use Input Director to be able to span my mouse and keyboard between my Surface Book and my Desktop. The laptop is below my main 4K monitor, and my other 4K monitor is positioned to the left of that screen, while the 32” 1080 Samsung Smart TV is on the right.",,Multiple times a day,"Partition, Expand",Watch TV and Work,Expand input modality 
P19,"I have two work laptops, only because work from home was rushed.  I was using Lenovo Thinkpad with the basic corporate build plus PhotoShop.  I was in the middle of upgrading to a HP Dragonfly when we switched to work from home.  It only has the basic corporate image, no PhotShop so I still use the ThinkPad a few times a week.  When using my Dragonfly for daily tasks, I connect it to my Surface for a second display.  My phone is always kept at hand for chat, either in my lap or on a nearby surface.  I work in whatever room I feel like throughout the day.",,Multiple times a day,"Partition, Expand ",Work and Communication - Chat,
P82,Watching streamed movies and TV shows on the living room TV. It uses the TV and a Roku 2. The Roku software and usually the Hulu app are involved. Me and occasionally my relatives are involved. I'm using the Roku to stream content to the TV. The Roku sits next to the base of the TV. ,,Monthly,Singel Device (?),,
P4,"Social media browsing
Reading Twitter, or viewing twitch streams
Android on phone. Social media apps
I browse and read social media post/watch streams
-------
I use the phone in multiple zones and positions in my house",,Daily,Single Device,Social Media,
P4,"Watch movies
Resting in bed watching movies
Smart TV operative system. Movies apps
I watch movies in my tv
-------
I turn on the TV and search what to watch
I lie in bed watching movies",,Daily,Single Device,Watch TV,
P51,Take myThinkpad 490 when visiting Mom or MIL and need to use work Zoom.  Bring iPad to have larger screen for work email,,Weekly,Single Device,,Device chocies related to screen size 
P72,"Gaming

Large 4K TV and XBOX One X

Either in the living room (primarily), or if my partner wants the soft and big TV I move the XBOX to the bedroom.

If in the living room I'm reclined on my favourite seat that is front and centre in front of the TV for the best viewing. Otherwise, I'm sat on the end of the bed directly in front of the TV.",,Weekly,Single Device,,
P82,"Gaming with my Ryzen desktop and 4K monitor. Usually involves Steam, occasionally libvirtd for Windows-only games. Only I am involved.

I'm using the monitor to see the game. The desktop is positioned as a tower on my desk to the left of the monitor. ",,Daily,Single Device,,
P82,Watching YouTube and other streaming content. I use my study TV and a Chromecast. Only I am involved. The TV is at the end of the room with the Chromecast plugged directly into it. ,,Rarely,Single Device,,Study TV sounds interesting
P85,Online course monitoring for professional development for teachers in need of ongoing professional development credit. Use Surface Pro 4 .. Canvas learning management system. Provide rating and feedback to submitted assignments. Single device for this.,,Weekly,Single Device,,
P94,"- Discussions over Teams
- A colleague and I discussing a task and screen sharing as well as controlling the other's screen.
- Using Teams, Visual Studios, coding website
- A colleague and me

Config
- large monitor, laptop
- See foto for set up",office.JPG,Weekly,Single Device,,
P25,"MS surface GO is for when i dont want to sit at my desk or im in the car, coffee shop or waiting for the kids to finish their swimming lessons etc.

during SARS-Cov2 i have used the GO to monitor emails from students while watching my kids, who are off school. Also used extensively for video calls in zoom and teams.. online courses sometimes take 3 or 4 hours of video calls, surface deals with the well as you can move about and not have to sit in the same seat. ",,Daily,Single Device ,Meeting - long video meeting ,Interseting about mobility 
P41,"same office, but use the surface pro 4 for zoom meetings, etc to give me portability move back and forth from desk to drafting table.  I also use the main set up to search for things etc while maintaining the zoom screen on the surface pro 4",,Weekly,Single Device ,,Mobility
P10,"Entertainment. We watch movies, television, and video games. Wii-U games, apps for Netflix, etc. Me, my wife, the kids.

We control the devices using remotes. The TV is on top of an entertainment center (not mounted), the Fire TV stick, Wii-U, and Sony Bluray are all plugged into an HDMI hub behind the television.",,Multiple times a day,Unclear,,
P10,"Gaming. Playing various PC games. Roblox, Elder Scrolls, World of Warcraft, Grand Theft Auto, etc. The kids.

The kids play at their desks using a keyboard and mouse. There are desks on adjacent walls (i.e. at right angles to each other).",,Multiple times a day,Unclear,,
P11,"Video meetings and calls - Microsoft Teams - Me and one or more colleagues
I sit facing the laptop as that is where the webcam is located. I prefer the laptop elevated off the desk to get a more pleasing angle on my face (no double chins!)",20200713_182816.jpg,Multiple times a day,Unclear,,
P30,"Activity:
Using it for class meeting using Google Meet or having work meeting using Zoom 

Configuration:
The same with the first configuration (minus the smartphone), but adding a webcam on top of the screen",,Daily,Unclear,,
P32,Kids use the laptops in various locations around the house to play Roblox together or separately.,,Multiple times a day,Unclear,,
P34,"Waking up in the morning, checking email and social media on an iPad. Normally kept on a bedside table, Also used for casual gaming or reading web or digital comics.",,Daily,Unclear,,
P37,"See description for second activity - background surfing / music streaming done on Surface Go during business day.  After work hours/weekend, Home PC is used by family members and myself for gaming, general surfing.  I'm primary user for Home PC for social media and general surfing during non work hours as other family members use phones or tablets for 'lite' stuff.",,Weekly,Unclear,,Share devices in families
P45,"- Video & Audio calls
- Work related calls with my company and calls with the customer I work with
- Microsoft Teams and Microsoft Sykpe for Business and other Office 365 products when presenting 
Customer relate calls and company related calls - I must use different Microsoft 365 account

Intel Nuc is used to log in to customer Office 365 with teams. Main and sometimes 2. monitor as well (monitors can be controlled with the TV remote controlls), Audio with Arturia AudioFuse and a Shure boundery mic asconf room setup, Video via Logitech Brio 4K camera. See picture
Surface Book 2 is used to log in to company Office 365 with teams. Surface monitor or 2 4K monitor (can be switched with remote contrl). Additionaly log in to customer S4B (their telefone and main comuniction system), so I can be reached. Audio is seperated with a Plantronics PLT V 6200 headset. Video via Surface front camera ",,Multiple times a day,Unclear,,Different accounts for class - client versus company
P47,"- podcasts
- listening with headphones
- stitcher & browser based
-  myself
Config:
- phone or tablet I use in hand, or I have stands that I place them in
",stitcher.png,Multiple times a day,Unclear,,
P47,"- streaming videos/movies
- watching
- netflix, amazon prime, youtube, browser based 
- myself and wife
Config:
- phone or tablet I use in hand, or I have stands that I place them in
",amazon.png,Weekly,Unclear,,
P53,"Personal: we use devices wherever we are during the day. In kitchen foe breakfast to see news,  at deck for breakfast, on deck during lunch, on sofa in evening for relax and streaming movies. ",,Multiple times a day,Unclear,,
P54,Work on personal projects paying bills with laptop scanner,,Multiple times a day,Unclear,,
P62,"I see a tweet on my phone, and I send it over iMessage to my wife’s phone.",,Multiple times a day,Unclear,,
P64,Do office work ,,Daily,Unclear,,
P64,Surf Social Media,,Daily,Unclear,,
P67,Dell laptop plus 2 hp monitors connected to dell dock.  Plantronics usb headset.  For work from home setup,,Multiple times a day,Unclear,,
P67,blink hub plus 2 blink indoor and two blink outdoor cameras,,Multiple times a day,Unclear,,
P67,lg connected tv us Xbox.  To play games and streaming Netflix sling and amazon,,Daily,Unclear,,
P71,"Email, work and home.
Photo scanning and vinyl conversion to digital.
Shopping.",,Multiple times a day,Unclear,,
P71,Retirement planning spreadsheets,,Never,Unclear,,
P73,"Development - Desktop, Laptop - Visual Studio, VS Code, Postman, Windows Terminal, Docker

At my desk or to the side my desk.
",,Multiple times a day,Unclear,,
P9,"3 - gaming - laptop on coffee table, controller in hand, child on other device or Xbox
",,Daily,Unclear,,
P54,Video calls with family can be on cell phone or ipad,,Daily,Unclear ,,
P64,"Check emails - MS Outlook
Surfing Web - MS Edge
Coding - VS Code, VS 2019

Some PCs I connect through SSH
One monitor in landscape mode and other monitor potrait mode
",,Multiple times a day,Unclear ,,
P69,"Activity: General office work
What does it involve: Generating documents, reviewing content, IT consultancy, financial/company management.
What software is involved: Windows 10, Microsoft 365, Microsoft Office, Edge
Who is involved: Just me
How are you using the devices: Surface Book 2 folded backwards into slate mode (for ease of document annotations), connected to Surface Dock which is linked to two monitors (one portrait, one landscape) and Microsoft Sculpt Comfort Desktop.
How are they positioned physically in the space: Surface Book 2 on left for easy access to pen/inking, two monitors side by side.",,Multiple times a day,Unclear ,,Integrate and partition I guess
P73,"Web Browsing - I use Desktop, Laptop, Tablet and Phone - Firefix, Edge, Safari

",,Multiple times a day,Unclear ,,
P73,"Web Video - Desktop, Xbox,  Laptop, Tablet, and Phone - Native Netflix, YouTube, Amazon apps",,Multiple times a day,Unclear ,,
P75,"Home office
Desktop PC remotes into work PC, phone and smart TV 
Phone often for stuff like this.
Desktop PC has virtual desktops for personal use and work remote window.
Smart TV on for noise 

PC in front of me, phone flat on desk to left within reach, and smart TV to left from there. Controlled via remote.",,Multiple times a day,Unclear ,,
P76,"2- Gaming
I have four separate systems which I game on: Xbox, PS4, Switch, and Mac/PC through a VM. 

The gaming systems are part of my TV entertainment center (see images 1-2 before). 

My PC/Mac is on my Mac Pro, where I house two VM’s for older games and my Mac for upscale gaming. (See image 3)

On my PC/Mac, I use dual monitors. ",,Multiple times a day,Unclear ,,
P87,"Activity: Personal time
- Watching TV and videos, reading, hobbies and other personal work
- Macbook photo editing, ebook readers, TV applications, youtube, netflix, HBO max, hulu",,Weekly,Unclear ,,
P93,"Work
-Home office. The TV really just acts as a monitor. I do not use any of the smart features. Typical Microsoft Office suite.

",,Multiple times a day,Unclear ,,
P97,1. Read personal email - access to multiple email accounts - typically web browser or Outlook app - only me. Reading email throughout the day in various applications or browsers; I do not consolidate mailboxes into a single app but have tried this in the past. ,,Multiple times a day,Unclear ,,
P19,"The photos I already shared show my work setup.  The Dragonfly is on the main tilted shelf, the Surface sits off to the side.  My Phone goes where ever.
",,Never,,,
P39,"When I need to use the smaller laptop, (13 inch macbook pro, I usually use a magic trackpad 2 alongside the laptop for my work.)

Otherwise, screen usage patterns, apps being used is still the same. ",,Multiple times a day,,,
